symbol,timestamp,close,swing_prob,rsi,bb_position,nearest_support,nearest_resistance,ema20,ema50
NSE:HINDNATGLS-BE,2025-06-04 00:00:00+00:00,18.92,0.72,0.0,0.0,19.74,343.95,17.4003273039189,18.07298457699912
NSE:JPASSOCIAT-BE,2025-06-04 00:00:00+00:00,3.11,0.66,0.0,0.0,3.27,343.95,3.282721550118783,3.948501161042188
NSE:HDFCNEXT50-EQ,2025-07-11 00:00:00+00:00,69.19,0.65,28.05435607207845,0.2994704076747959,65.94,343.95,68.85,67.90480000000001
NSE:UNIVAFOODS-BE,2025-05-19 00:00:00+00:00,11.19,0.63,0.0,0.0,11.28,343.95,10.301188653792966,9.506959190306828
NSE:BLUECHIP-BE,2025-05-19 00:00:00+00:00,5.8,0.63,0.0,0.0,5.68,343.95,6.480020954362934,6.899574280909239
NSE:WELSPUNLIV-EQ,2025-07-11 00:00:00+00:00,140.95,0.63,50.624933064135426,0.3672082979257238,65.94,343.95,138.28900000000002,139.8608
NSE:CUB-EQ,2025-07-11 00:00:00+00:00,212.51,0.62,46.20634130107268,0.3570545162342296,65.94,343.95,207.1555,198.9526
NSE:SPANDANA-EQ,2025-07-11 00:00:00+00:00,280.55,0.62,51.55453856829154,0.4489189237364969,65.94,343.95,275.9375,279.392
NSE:SILVER360-EQ,2025-07-11 00:00:00+00:00,109.5,0.61,50.46284123695438,0.4209031495380823,65.94,343.95,106.8415,102.0004
NSE:RELCHEMQ-EQ,2025-07-11 00:00:00+00:00,191.25,0.61,50.562132423798204,0.4487326690940362,65.94,343.95,181.731,182.22080000000005
